Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
Lebanon,"10,400 sq km","6,100,075",-3.13%,"14.1 births/1,000 population","5.1 deaths/1,000 population","-20.3 migrant(s)/1,000 population","15 deaths/100,000 live births","7.2 deaths/1,000 live births",77.9 years,1.72 children born/woman,6.4% of GDP,-,"2,200",-,32%,-,2.5% of GDP,-,"1,507.50",Lebanese pounds (LBP) per US dollar -,$88.25 billion,1.50%,"$19,600 ",-0.7% of GDP,-21.10%,2.166 million,9.70%,-,21.5% (of GDP),-6.9% (of GDP),146.8% of GDP,4.50%,10%,8.29%,$7.047 billion,$7.047 billion,$108.2 billion,$11.22 billion,-$12.37 billion,$3.524 billion,"China 13%, UAE 9.9%, South Africa 7.5%, Saudi Arabia 6.5%, Syria 6.5%, Iraq 5.8%, Turkey 4.6%(2017)","jewelry, base metals, chemicals, consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper",$18.34 billion,"China 10.2%, Italy 8.9%, Greece 7%, Germany 6.6%, US 6.3%, Turkey 4.5%, Egypt 4.2%(2017)","petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals",$55.42 billion,$39.3 billion,$61.02 billion,$13.46 billion,2.91% of GDP,8,401 km,"6,970 km",-,54,17.59 billion kWh,15.71 billion kWh,0 kWh,69 million kWh,2.346 million kW,88% of total installed capacity,0% of total installed capacity,11% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"154,000 bbl/day",0 bbl/day,"151,100 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"1,816,262","4,890,534","4,747,542"
Latvia,"64,589 sq km","1,923,559",-1.10%,"9.6 births/1,000 population","14.5 deaths/1,000 population","-6.1 migrant(s)/1,000 population","18 deaths/100,000 live births","5.1 deaths/1,000 live births",74.9 years,1.52 children born/woman,5.9% of GDP,0.70%,"6,600",-,23.60%,-,5.3% of GDP,17.30%,0.906,lati (LVL) per US dollar -,$54.02 billion,4.50%,"$27,700 ",20.7% of GDP,10.60%,"990,000",8.70%,34.5,37.5% (of GDP),-0.5% (of GDP),36.3% of GDP,2.90%,0%,2.58%,$12.91 billion,$12.91 billion,$17.27 billion,$6.76 billion,-$231 million,$12.84 billion,"Lithuania 15.8%, Russia 14%, Estonia 10.9%, Germany 6.9%, Sweden 5.7%, UK 4.9%, Poland 4.3%, Denmark 4.1%(2017)","foodstuffs, wood and wood products, metals, machinery and equipment, textiles",$15.79 billion,"Lithuania 17.6%, Germany 11.7%, Poland 8.7%, Estonia 7.6%, Russia 7.1%, Netherlands 4.2%, Finland 4.2%, Italy 4%(2017)","machinery and equipment, consumer goods, chemicals, fuels, vehicles",$4.614 billion,$40.02 billion,$18.84 billion,$3.402 billion,1.7% of GDP,42,"2,239 km","70,192 km",300 km,65,6.241 billion kWh,6.798 billion kWh,3.795 billion kWh,4.828 billion kWh,2.932 million kW,39% of total installed capacity,0% of total installed capacity,53% of total installed capacity,8% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"44,600 bbl/day","16,180 bbl/day","54,370 bbl/day",0 cu m,1.218 billion cu m,0 cu m,1.246 billion cu m,0 cu m,"342,097","2,464,122","1,570,374"
Lithuania,"65,300 sq km","2,793,284",-1.10%,"9.8 births/1,000 population","14.8 deaths/1,000 population","-6.1 migrant(s)/1,000 population","10 deaths/100,000 live births","3.8 deaths/1,000 live births",75.2 years,1.6 children born/woman,6.6% of GDP,0.20%,"2,800",-,26.30%,-,4.5% of GDP,14.40%,0.884,litai (LTL) per US dollar -,$91.47 billion,3.90%,"$32,400 ",18% of GDP,5.90%,1.467 million,7.10%,37.9,33.7% (of GDP),0.5% (of GDP),39.7% of GDP,3.70%,0%,2.80%,$25.61 billion,$25.61 billion,$36.91 billion,$6.76 billion,$364 million,$29.12 billion,"Russia 15%, Latvia 9.9%, Poland 8.1%, Germany 7.3%, US 5.2%, Estonia 5%, Sweden 4.8%(2017)","refined fuel, machinery and equipment, chemicals, textiles, foodstuffs, plastics",$31.56 billion,"Russia 13%, Germany 12.3%, Poland 10.6%, Latvia 7.1%, Italy 5.2%, Netherlands 5.1%, Sweden 4%(2017)","oil, natural gas, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals",$4.45 billion,$34.48 billion,$20.43 billion,$6.268 billion,2% of GDP,61,"1,768 km","84,166 km",441 km,60,3.131 billion kWh,10.5 billion kWh,730 million kWh,11.11 billion kWh,3.71 million kW,73% of total installed capacity,0% of total installed capacity,4% of total installed capacity,23% of total installed capacity,"2,000 bbl/day","1,002 bbl/day","182,900 bbl/day",12 million bbl,"196,500 bbl/day","58,000 bbl/day","174,800 bbl/day","42,490 bbl/day",0 cu m,2.492 billion cu m,0 cu m,2.492 billion cu m,0 cu m,"486,895","4,361,329","2,122,884"
Liberia,"111,369 sq km","4,809,768",2.59%,"37.9 births/1,000 population","7.4 deaths/1,000 population","-5.7 migrant(s)/1,000 population","725 deaths/100,000 live births","50.6 deaths/1,000 live births",63.8 years,5 children born/woman,10% of GDP,1.40%,"40,000","2,500",9.90%,15.30%,2.8% of GDP,3.30%,109.4,Liberian dollars (LRD) per US dollar -,$6.112 billion,2.50%,"$1,300 ",-21.9% of GDP,9%,1.677 million,2.80%,32,16.9% (of GDP),-4.3% (of GDP),34.4% of GDP,12.40%,3.20%,13.30%,$423 million,$423 million,$792.3 million,-,-$627 million,$260.6 million,"Germany 36.2%, Switzerland 14.2%, UAE 8.8%, US 6.8%, Indonesia 4.7%(2017)","rubber, timber, iron, diamonds, cocoa, coffee",$1.166 billion,"Singapore 29.8%, China 24.4%, South Korea 17.5%, Japan 9.4%(2017)","fuels, chemicals, machinery, transportation equipment, manufactured goods; foodstuffs",$459.8 million,$1.036 billion,$17.01 billion,$201 million,0.62% of GDP,29,429 km,"10,600 km",-,"3,296",300 million kWh,279 million kWh,0 kWh,0 kWh,"151,000 kW",57% of total installed capacity,0% of total installed capacity,43% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"8,000 bbl/day",0 bbl/day,"8,181 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"8,000","3,117,002","314,717"
Slovakia,"49,035 sq km","5,445,040",-0.02%,"9.6 births/1,000 population","9.9 deaths/1,000 population","0.1 migrant(s)/1,000 population","6 deaths/100,000 live births","5 deaths/1,000 live births",77.4 years,1.42 children born/woman,8.1% of GDP,-,-,-,20.50%,-,4.6% of GDP,22.20%,0.885,euros (EUR) per US dollar -,$179.7 billion,3.40%,"$33,100 ",20.6% of GDP,2.70%,2.758 million,8.10%,23.7,39.4% (of GDP),-1% (of GDP),50.9% of GDP,1.30%,0%,2.44%,$56.46 billion,$56.46 billion,$85.56 billion,$4.567 billion,-$2.005 billion,$80.8 billion,"Germany 20.7%, Czech Republic 11.6%, Poland 7.7%, France 6.3%, Italy 6.1%, UK 6%, Hungary 6%, Austria 6%(2017)","vehicles and related parts 27%, machinery and electrical equipment 20%, nuclear reactors and furnaces 12%, iron and steel 4%, mineral oils and fuels 5%(2015 est.)",$80.07 billion,"Germany 19.1%, Czech Republic 16.3%, Austria 10.3%, Poland 6.5%, Hungary 6.4%, South Korea 4.5%, Russia 4.5%, France 4.3%, China 4.2%(2017)","machinery and electrical equipment 20%, vehicles and related parts 14%, nuclear reactors and furnaces 12%, fuel and mineral oils 9%(2015 est.)",$3.622 billion,$75.04 billion,$69.92 billion,$21.29 billion,1.16% of GDP,35,"3,580 km","56,926 km",172 km,-,25.32 billion kWh,26.64 billion kWh,10.6 billion kWh,13.25 billion kWh,7.644 million kW,36% of total installed capacity,27% of total installed capacity,24% of total installed capacity,13% of total installed capacity,200 bbl/day,"1,022 bbl/day","111,200 bbl/day",9 million bbl,"131,300 bbl/day","85,880 bbl/day","81,100 bbl/day","38,340 bbl/day",104.8 million cu m,4.672 billion cu m,0 cu m,4.984 billion cu m,14.16 billion cu m,"758,842","7,117,753","4,382,558"
Palmyra Atoll,11.9 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liechtenstein,160 sq km,"38,547",0.78%,"10.4 births/1,000 population","7.6 deaths/1,000 population","5 migrant(s)/1,000 population",-,"4.2 deaths/1,000 live births",82 years,1.69 children born/woman,-,-,-,-,-,-,2.6% of GDP,-,0.9875,Swiss francs (CHF) per US dollar -,$4.978 billion,1.80%,"$139,100 ",-,-,"38,520",2.40%,-,14.9% (of GDP),1.6% (of GDP),-,-0.40%,-,-,-,-,-,-,-,$3.217 billion,-,"small specialty machinery, connectors for audio and video, parts for motor vehicles, dental products, hardware, prepared foodstuffs, electronic equipment, optical products",$0 ,-,"agricultural products, raw materials, energy products, machinery, metal goods, textiles, foodstuffs, motor vehicles",-,$0 ,-,-,-,-,9 km,380 km,28 km,-,68.43 million kWh,393.6 million kWh,0 kWh,325.2 million kWh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,852","46,625","37,214"
Lesotho,"30,355 sq km","1,962,461",0.24%,"24.2 births/1,000 population","15.1 deaths/1,000 population","-6.8 migrant(s)/1,000 population","487 deaths/100,000 live births","44.6 deaths/1,000 live births",53 years,2.59 children born/woman,10.6% of GDP,23.80%,"320,000","4,900",16.60%,10.30%,11.4% of GDP,34.40%,14.48,maloti (LSL) per US dollar -,$6.656 billion,-1.60%,"$3,300 ",20.3% of GDP,12.50%,"930,800",28.10%,63.2,39.7% (of GDP),-6% (of GDP),33.7% of GDP,5.30%,6.75%,11.58%,$420.8 million,$420.8 million,$442.3 million,-,-$102 million,$1.028 billion,"South Africa 57%, US 33.5%(2017)","manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds",$1.826 billion,South Africa 87.2%(2017),"food; building materials, vehicles, machinery, medicines, petroleum products",$657.7 million,$934.6 million,$497.7 million,$122 million,1.85% of GDP,24,-,"5,940 km",-,-,510 million kWh,847.3 million kWh,0 kWh,373 million kWh,"80,400 kW",0% of total installed capacity,0% of total installed capacity,100% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"5,000 bbl/day",0 bbl/day,"5,118 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"10,637","2,380,804","534,360"
Luxembourg,"2,586 sq km","605,764",1.90%,"11.6 births/1,000 population","7.3 deaths/1,000 population","15.5 migrant(s)/1,000 population","10 deaths/100,000 live births","3.4 deaths/1,000 live births",82.4 years,1.62 children born/woman,6.6% of GDP,0.30%,"1,100",-,22.60%,-,4% of GDP,18.90%,0.885,euros (EUR) per US dollar -,$62.11 billion,2.30%,"$105,100 ",22.3% of GDP,1.90%,"282,800",5.80%,30.4,44.4% (of GDP),1.5% (of GDP),23% of GDP,2.10%,0%,1.90%,$275.6 billion,$275.6 billion,$128.5 billion,$47.13 billion,$3.112 billion,$15.99 billion,"Germany 25.6%, Belgium 17.6%, France 14%, Netherlands 5.1%, Italy 4.1%, UK 4.1%(2017)","machinery and equipment, steel products, chemicals, rubber products, glass",$20.66 billion,"Belgium 32%, Germany 24.9%, France 11.1%, US 5.7%, Netherlands 4.9%(2017)","commercial aircraft, minerals, chemicals, metals, foodstuffs, luxury consumer goods",$878 million,$3.781 trillion,$11.21 billion,-,0.55% of GDP,2,275 km,"2,899 km",37 km,152,334.5 million kWh,6.475 billion kWh,1.42 billion kWh,7.718 billion kWh,1.709 million kW,25% of total installed capacity,0% of total installed capacity,8% of total installed capacity,67% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"59,850 bbl/day",0 bbl/day,"59,020 bbl/day",0 cu m,792.8 million cu m,0 cu m,792.8 million cu m,0 cu m,"275,300","794,000","567,698"
Libya,"1,759,540 sq km","6,754,507",1.45%,"17.2 births/1,000 population","3.7 deaths/1,000 population","1.9 migrant(s)/1,000 population","9 deaths/100,000 live births","10.5 deaths/1,000 live births",76.9 years,2.03 children born/woman,5% of GDP,-,-,-,32.50%,-,-,48.70%,1.413,Libyan dinars (LYD) per US dollar -,$61.97 billion,64%,"$9,600 ",5% of GDP,60.30%,1.114 million,30%,-,51.6% (of GDP),-25.1% (of GDP),4.7% of GDP,28.50%,9.52%,7.30%,$76.21 billion,$76.21 billion,$21 billion,-,$2.574 billion,$18.38 billion,"Italy 19%, Spain 12.5%, France 11%, Egypt 8.6%, Germany 8.6%, China 8.3%, US 4.9%, UK 4.6%, Netherlands 4.5%(2017)","crude oil, refined petroleum products, natural gas, chemicals",$11.36 billion,"China 13.5%, Turkey 11.3%, Italy 6.9%, South Korea 5.9%, Spain 4.8%(2017)","machinery, semi-finished goods, food, transport equipment, consumer products",$74.71 billion,$3.02 billion,$20.21 billion,$20.97 billion,-,146,-,"100,024 km",-,98,34.24 billion kWh,27.3 billion kWh,0 kWh,376 million kWh,9.46 million kW,100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,"897,100 bbl/day","337,800 bbl/day",0 bbl/day,48.36 billion bbl,"89,620 bbl/day","260,000 bbl/day","16,880 bbl/day","168,200 bbl/day",9.089 billion cu m,4.446 billion cu m,4.644 billion cu m,0 cu m,1.505 trillion cu m,"1,374,408","7,660,068","1,326,194"
Madagascar,"587,041 sq km","25,683,610",2.46%,"31 births/1,000 population","6.4 deaths/1,000 population","0 migrant(s)/1,000 population","353 deaths/100,000 live births","40.1 deaths/1,000 live births",66.6 years,3.95 children born/woman,3% of GDP,0.30%,"35,000","1,600",5.30%,-,2.1% of GDP,1%,"3,116.10",Malagasy ariary (MGA) per US dollar -,$39.85 billion,4.20%,"$1,600 ",14.8% of GDP,5.20%,13.4 million,1.80%,41,15.9% (of GDP),-2.7% (of GDP),36% of GDP,8.30%,9.50%,60%,$1.045 billion,$1.045 billion,$2.345 billion,-,-$35 million,$2.29 billion,"France 24.8%, US 16.5%, China 6.7%, Germany 6.5%, Japan 6%, Netherlands 4.7%(2017)","coffee, vanilla, shellfish, sugar, cotton cloth, clothing, chromite, petroleum products, gems, ilmenite, cobalt, nickel",$2.738 billion,"China 18.7%, India 9.3%, France 6.4%, South Africa 5.6%, UAE 5.3%(2017)","capital goods, petroleum, consumer goods, food",$1.6 billion,$4.089 billion,$6.461 billion,-,0.53% of GDP,83,836 km,"37,476 km",600 km,28,1.706 billion kWh,1.587 billion kWh,0 kWh,0 kWh,"675,400 kW",74% of total installed capacity,0% of total installed capacity,24% of total installed capacity,2% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"18,000 bbl/day",0 bbl/day,"18,880 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"68,792","8,730,499","1,151,563"
Macau,28.2 sq km,"606,340",0.71%,"8.4 births/1,000 population","4.6 deaths/1,000 population","3.3 migrant(s)/1,000 population",-,"3.1 deaths/1,000 live births",84.6 years,0.95 children born/woman,-,-,-,-,-,-,3% of GDP,5.10%,8,patacas (MOP) per US dollar -,$71.82 billion,9.10%,"$110,000 ",-,2%,"400,000",2%,35,29.2% (of GDP),10% (of GDP),0% of GDP,1.20%,-,5.25%,$8.866 billion,$8.866 billion,$18.24 billion,$85.5 billion,$16.75 billion,$1.137 billion,"Hong Kong 58.5%, China 18.8%(2017)","clothing, textiles, footwear, toys, electronics, machinery and parts",$11.55 billion,"China 33.9%, Italy 9.3%, Hong Kong 9%, France 7.5%, Switzerland 7.4%, Japan 7.2%, US 4.4%(2017)","raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco, garments and footwear, motor vehicles), capital goods, mineral fuels and oils",$20.17 billion,$0 ,$18.91 billion,$1.166 billion,-,1,-,427 km,-,1,929 million kWh,5.077 billion kWh,0 kWh,4.306 billion kWh,"472,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"12,700 bbl/day",0 bbl/day,"14,180 bbl/day",0 cu m,178.2 million cu m,0 cu m,175.5 million cu m,0 cu m,"142,000","1,969,972","460,000"
Moldova,"33,851 sq km","3,437,720",-1.06%,"11.2 births/1,000 population","12.6 deaths/1,000 population","-9.4 migrant(s)/1,000 population","23 deaths/100,000 live births","11.7 deaths/1,000 live births",71.3 years,1.57 children born/woman,10.3% of GDP,0.60%,"15,000",-,18.90%,2.20%,6.7% of GDP,11.20%,18.49,Moldovan lei (MDL) per US dollar -,$23.72 billion,4.50%,"$6,700 ",13.5% of GDP,3%,1.295 million,4.10%,26.8,30.2% (of GDP),-0.6% (of GDP),31.5% of GDP,6.60%,6.50%,10.36%,$2.026 billion,$2.026 billion,$2.135 billion,$18.42 million,-$602 million,$1.858 billion,"Romania 24.6%, Russia 13.7%, Italy 9.1%, Germany 6.2%, Ukraine 5.3%, UK 4.6%, Poland 4.6%(2017)","foodstuffs, textiles, machinery",$4.427 billion,"Romania 15.5%, Ukraine 11.4%, Russia 10.6%, China 10.4%, Germany 8.9%, Italy 6.9%, Turkey 6.1%(2017)","mineral products and fuel, machinery and equipment, chemicals, textiles",$2.803 billion,$6.549 billion,$3.701 billion,$252.7 million,0.37% of GDP,7,"1,171 km","9,352 km",558 km,172,5.49 billion kWh,4.4 billion kWh,0 kWh,4 million kWh,"515,000 kW",86% of total installed capacity,0% of total installed capacity,12% of total installed capacity,2% of total installed capacity,0 bbl/day,0 bbl/day,20 bbl/day,0 bbl,232 bbl/day,"18,000 bbl/day",275 bbl/day,"18,160 bbl/day",11.33 million cu m,2.52 billion cu m,0 cu m,2.52 billion cu m,-,"1,143,852","3,662,968","2,492,444"
Mongolia,"1,564,116 sq km","3,103,428",1.11%,"18.2 births/1,000 population","6.3 deaths/1,000 population","-0.8 migrant(s)/1,000 population","44 deaths/100,000 live births","20.5 deaths/1,000 live births",70.2 years,2.04 children born/woman,4.7% of GDP,-,-,-,20.60%,1.60%,5.2% of GDP,20.80%,"2,378.10",togrog/tugriks (MNT) per US dollar -,$39.73 billion,5.10%,"$13,000 ",26.9% of GDP,-1%,1.241 million,8%,34,26.6% (of GDP),-6.4% (of GDP),91.4% of GDP,4.60%,11%,20.01%,$1.164 billion,$1.164 billion,$7.542 billion,$632.6 million,-$1.155 billion,$5.834 billion,"China 85%, UK 10.7%(2017)","copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil",$4.345 billion,"China 32.6%, Russia 28.1%, Japan 8.4%, US 4.8%, South Korea 4.6%(2017)","machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent",$3.016 billion,$25.33 billion,$18.02 billion,$495 million,0.72% of GDP,44,"1,815 km","49,249 km",580 km,261,5.339 billion kWh,5.932 billion kWh,51 million kWh,1.446 billion kWh,1.134 million kW,87% of total installed capacity,0% of total installed capacity,2% of total installed capacity,11% of total installed capacity,"20,000 bbl/day","14,360 bbl/day",0 bbl/day,-,0 bbl/day,"27,000 bbl/day",0 bbl/day,"24,190 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"292,594","3,886,167","674,949"
Montserrat,102 sq km,"5,315",0.43%,"10.5 births/1,000 population","6.2 deaths/1,000 population","0 migrant(s)/1,000 population",-,"11.9 deaths/1,000 live births",74.8 years,1.34 children born/woman,-,-,-,-,-,-,5.1% of GDP,-,2.7,East Caribbean dollars (XCD) per US dollar -,$167.4 million,7.40%,"$34,000 ",-,-21%,"4,521",5.60%,-,-,-,-,1.20%,10.99%,6.95%,$28.33 million,$28.33 million,$5.185 million,-,-$15.4 million,$4.4 million,"US 29%, France 23%, Saint Kitts and Nevis 22.2%(2017)","electronic components, plastic bags, apparel; hot peppers, limes, live plants; cattle",$39.44 million,"US 72.8%, Trinidad and Tobago 6%, UK 4.1%(2017)","machinery and transportation equipment, foodstuffs, manufactured goods, fuels, lubricants",$47.58 million,$8.9 million,-,-,-,1,-,-,-,-,24 million kWh,22.32 million kWh,0 kWh,0 kWh,"5,000 kW",100% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,400 bbl/day,0 bbl/day,406 bbl/day,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"3,000","5,000","2,860"
Malawi,"118,484 sq km","19,842,560",3.31%,"40.7 births/1,000 population","7.7 deaths/1,000 population","0 migrant(s)/1,000 population","634 deaths/100,000 live births","42.1 deaths/1,000 live births",62.2 years,5.43 children born/woman,11.4% of GDP,9.60%,1 million,"17,000",5.80%,11.70%,4.7% of GDP,8%,731.69,Malawian kwachas (MWK) per US dollar -,$22.42 billion,4%,"$1,200 ",3.9% of GDP,1.20%,7 million,20.40%,46.1,21.7% (of GDP),-3.4% (of GDP),59.2% of GDP,12.20%,16%,38.10%,$632.4 million,$632.4 million,$1.161 billion,$18.97 million,-$591 million,$1.42 billion,"Zimbabwe 13.1%, Mozambique 11.8%, Belgium 10.7%, South Africa 6.3%, Netherlands 5%, UK 4.7%, Germany 4.3%, US 4.2%(2017)","tobacco (55%), dried legumes (8.8%), sugar (6.7%), tea (5.7%), cotton (2%), peanuts, coffee, soy(2015 est.)",$2.312 billion,"South Africa 20.7%, China 14.2%, India 11.6%, UAE 7%, Netherlands 4.4%(2017)","food, petroleum products, semi-manufactures, consumer goods, transportation equipment",$780.2 million,$2.102 billion,$142.5 million,-,0.61% of GDP,32,767 km,"15,452 km",700 km,-,1.42 billion kWh,1.321 billion kWh,0 kWh,0 kWh,"375,000 kW",1% of total installed capacity,0% of total installed capacity,93% of total installed capacity,6% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"6,000 bbl/day",0 bbl/day,"4,769 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"17,337","7,772,503","1,785,369"
Montenegro,"13,812 sq km","614,249",-0.34%,"11.9 births/1,000 population","10.4 deaths/1,000 population",-,"7 deaths/100,000 live births",-,-,-,6.4% of GDP,-,-,-,23.30%,1%,-,37.70%,0.885,euros (EUR) per US dollar -,$11.08 billion,4.30%,"$17,800 ",13.2% of GDP,-4.20%,"273,200",16.10%,31.9,37.2% (of GDP),-5.6% (of GDP),67.2% of GDP,2.40%,-,6.81%,$1.284 billion,$2.37 billion,$3.239 billion,$3.425 billion,-$780 million,$422.2 million,-,-,$2.618 billion,-,-,$1.077 billion,$2.516 billion,$737.7 million,$39.77 million,1.7% of GDP,5,250 km,"7,762 km",-,12,3.045 billion kWh,2.808 billion kWh,914 million kWh,1.21 billion kWh,"890,000 kW",23% of total installed capacity,0% of total installed capacity,69% of total installed capacity,8% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"6,000 bbl/day",357 bbl/day,"6,448 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"152,155","1,044,674","450,442"
Macedonia,"25,713 sq km","2,118,945",0.19%,"10.8 births/1,000 population","9.6 deaths/1,000 population","-0.5 migrant(s)/1,000 population","8 deaths/100,000 live births","7.8 deaths/1,000 live births",75.9 years,1.49 children born/woman,6.5% of GDP,-,-,-,22.40%,1.30%,-,48.20%,55.8,Macedonian denars (MKD) per US dollar -,$31.03 billion,0%,"$14,900 ",30.3% of GDP,-7.80%,"950,800",22.40%,33.7,29% (of GDP),-2.7% (of GDP),39.3% of GDP,1.40%,3.25%,6.21%,$2.403 billion,$2.403 billion,$6.243 billion,$2.078 billion,-$151 million,$4.601 billion,"Germany 46.7%, Bulgaria 6.1%, Serbia 4.4%, Belgium 4.1%(2017)","foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts",$6.63 billion,"Germany 11.9%, UK 10%, Greece 8%, Serbia 7.1%, China 5.9%, Italy 5.5%, Turkey 4.5%, Bulgaria 4.3%(2017)","machinery and equipment, automobiles, chemicals, fuels, food products",$2.802 billion,$8.79 billion,$6.937 billion,$1.169 billion,0.9% of GDP,10,925 km,"14,182 km",-,-,5.396 billion kWh,6.42 billion kWh,58.5 million kWh,2.191 billion kWh,1.828 million kW,60% of total installed capacity,0% of total installed capacity,37% of total installed capacity,3% of total installed capacity,0 bbl/day,142 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"21,000 bbl/day","3,065 bbl/day","23,560 bbl/day",0 cu m,198.2 million cu m,0 cu m,198.2 million cu m,0 cu m,"361,269","2,121,805",1.475 million
